Title,Issue,Pedigree,Publisher,Year,Grader,Grade,Page Quality
4Most V2,2,Mile High pedigree,Novelty Press,1943,CGC,NM- 9.2,Off-white to white pages.
4Most V7,4,Mile High pedigree,Novelty Press,1948,CGC,VF- 7.5,Off-white to white pages.
Adventure Comics,102,Mile High pedigree,DC,1946,CGC,NM 9.4,White pages.
Adventure Comics,54,Mile High pedigree,DC,1940,CGC,NM+ 9.6,Off-white pages.
Adventure Comics,57,Mile High pedigree,DC,1940,CGC,NM+ 9.6,White pages.
Adventure Comics,59,Mile High pedigree,DC,1941,CGC,VF 8.0,Off-white to white pages.
Adventure Comics,60,Mile High pedigree,DC,1941,CGC,NM+ 9.6,White pages.
Adventure Comics,62,Mile High pedigree,DC,1941,CGC,NM+ 9.6,White pages.
Adventure Comics,67,Mile High pedigree,DC,1941,CGC,NM/MT 9.8,White pages.
Adventure Comics,81,Mile High pedigree,DC,1942,CGC,NM+ 9.6,White pages.
Adventure Comics,86,Mile High pedigree,DC,1943,CGC,NM+ 9.6,White pages.
Adventure Comics,88,Mile High pedigree,DC,1943,CGC,NM+ 9.6,White pages.
Adventure Comics,94,Mile High pedigree,DC,1944,CGC,NM/MT 9.8,White pages.
All Sports Comics,2,Mile High pedigree,Hillman Publications,1948,CGC,NM+ 9.6,White pages.
All-Flash,8,Mile High pedigree,DC,1943,CGC,Apparent FN/VF 7.0 Slight (P),White pages.
Bill Barnes Comics,2,Mile High pedigree,Street & Smith,1941,CGC,VF/NM 9.0,Off-white to white pages.
Blue Bolt V4,11,Mile High pedigree,Novelty Press,1944,CGC,NM+ 9.6,Off-white to white pages.
Bobby Gets Hep,nn,Mile High pedigree,Bell Telephone System,1946,CGC,VF/NM 9.0,Off-white pages.
Captain Marvel Adventures,10,Mile High pedigree,Fawcett,1942,CGC,NM+ 9.6,White pages.
Captain Marvel Adventures,21,Mile High pedigree,Fawcett,1943,CGC,NM/MT 9.8,White pages.
Captain Marvel Adventures,81,Mile High pedigree,Fawcett,1948,CGC,NM 9.4,Off-white to white pages.
Captain Midnight,35,Fawcett,1945,CGC,NM 9.4,White pages.
Captain Midnight,42,Mile High pedigree,Fawcett,1946,CGC,NM+ 9.6,Off-white to white pages.
Captain Midnight,57,Mile High pedigree,Fawcett,1947,CGC,NM+ 9.6,White pages.
Captain Midnight,59,Mile High pedigree,Fawcett,1948,CGC,NM 9.4,Off-white pages.
Captain Midnight,60,Mile High pedigree,Fawcett,1948,CGC,NM- 9.2,Off-white pages.
Catman Comics,18,Mile High pedigree,Holyoke Publications,1944,CGC,NM- 9.2,Off-white to white pages.
Charlie Chan,5,Mile High pedigree,Crestwood/Headline,1949,CGC,NM 9.4,Off-white pages.
Claire Voyant,4,Mile High pedigree,Pentagon,1947,CGC,NM- 9.2,White pages.
Clue Comics,2,Mile High pedigree,Hillman Publications,1943,CGC,NM/MT 9.8,Off-white pages.
Clue Comics,7,Hillman Publications,1943,CGC,NM+ 9.6,Off-white to white pages.
Crack Comics,22,Mile High pedigree,Quality,1942,CGC,NM 9.4,White pages.
Crack Comics,23,Mile High pedigree,Quality,1942,CGC,NM+ 9.6,White pages.
Crack Comics,24,Mile High pedigree,Quality,1942,CGC,NM 9.4,White pages.
Crimes by Women,2,Mile High pedigree,Fox Features Syndicate,1948,CGC,VF 8.0,White pages.
Doll Man,38,Mile High pedigree,Quality,1952,CGC,FN/VF 7.0,White pages.
Eagle Comics,1,Mile High pedigree,Rural Home,1945,CGC,VF/NM 9.0,White pages.
Flash Comics,45,San Francisco pedigree,DC,1943,CGC,NM+ 9.6,White pages.
Great Comics,1,Mile High pedigree,Novack,1945,CGC,VF 8.0,White pages.
Green Lantern,35,Mile High pedigree,DC,1948,CGC,FN/VF 7.0,Off-white to white pages.
Green Lantern,38,Mile High pedigree,DC,1949,CGC,VF 8.0,Off-white pages.
Hi-Spot Comics,2,Mile High pedigree,Hawley Publications,1940,,,"A Dave Innes of Pellucidar story written by Edgar Rice Bur..."
It Rhymes With Lust,nn,St. John,1950,CGC,Apparent VG/FN 5.0 Slight (A),Off-white to white pages.
Kewpies,1,Mile High pedigree,Will Eisner Publications,1949,CGC,FN- 5.5,White pages.
Magic Comics,1,Mile High pedigree,David McKay Publications,1939,CGC,FN/VF 7.0,Off-white to white pages.
Negro Heroes,1,Mile High pedigree,Parents' Magazine Institute,1947,CGC,VG+ 4.5,White pages.
New York World's Fair Comics 1939,Mile High pedigree,DC,1939,CGC,FN- 5.5,White pages.
Plastic Man,6,Mile High pedigree,Quality,1946,CGC,VG/FN 5.0,Off-white to white pages.
Punch Comics,15,Mile High pedigree,Chesler,1945,CGC,VG/FN 5.0,White pages.
Santa Claus Funnies,1,Mile High pedigree,Dell,1952,CGC,FN 6.0,Off-white pages.
Schwinn Bike Thrills,nn,Mile High pedigree,Schwinn,1959,CGC,FN/VF 7.0,Off-white to white pages.
Shadow Comics V8,10,Mile High pedigree,Street & Smith,1949,CGC,VF 8.0,Off-white to white pages.
Shock SuspenStories,9,Gaines File pedigree,EC,1953,CGC,NM/MT 9.8,White pages.
Target Comics V3,6,Mile High pedigree,Novelty Press,1942,CGC,VF 8.0,White pages.
The American Air Forces,7,Mile High pedigree,Magazine Enterprises,1952,CGC,VF- 7.5,White pages.
True Crime Comics,5,Mile High pedigree,Magazine Village,1949,CGC,FN- 5.5,Off-white to white pages.
War Comics,2,Mile High pedigree,Dell,1941,CGC,VF- 7.5,Off-white to white pages.
Whiz Comics,122,Mile High pedigree,Fawcett,1950,CGC,FN+ 6.5,White pages.
Young King Cole V3,8,Mile High pedigree,Novelty Press,1948,CGC,VF/NM 9.0,Off-white to white pages

roblarsen
roblarsen commented now
roblarsen
now
Owner
Author
Title,Issue,Pedigree,Publisher,Year,Grader,Grade,Page Quality
Adventure Comics,141,Mile High pedigree,DC,1949,CGC,VF/NM 9.0,Off-white to white pages.
Adventure Comics,56,DC,1940,CGC,NM 9.4,Off-white to white pages.
Adventures Into the Unknown,9,Mile High pedigree,ACG,1950,CGC,NM+ 9.6,Off-white to white pages.
Adventures Into the Unknown,15,Mile High pedigree,ACG,1951,CGC,VF+ 8.5,Off-white to white pages.
Adventures Into the Unknown,27,Mile High pedigree,ACG,1952,CGC,NM 9.4,Off-white to white pages.
All Funny Comics,1,Mile High pedigree,DC,1943,CGC,NM+ 9.6,White pages.
All-Flash,2,Mile High pedigree,DC,1941,CGC,NM+ 9.6,Off-white pages.
All-New Comics,9,Mile High pedigree,Harvey,1944,CGC,NM 9.4,White pages.
Boy Comics,14,Mile High pedigree,Lev Gleason,1944,CGC,NM- 9.2,White pages.
Boy Commandos,3,Mile High pedigree,DC,1943,CGC,NM 9.4,Off-white to white pages.
Brenda Starr,14 (#2),Mile High pedigree,Four Star,1948,CGC,NM 9.4,Off-white pages.
Brenda Starr V2,5,Mile High pedigree,Four Star,1948,CGC,NM- 9.2,White pages.
Bulletman,10,Mile High pedigree,Fawcett,1942,CGC,NM 9.4,White pages.
Captain Midnight,24,Mile High pedigree,Fawcett,1944,CGC,NM 9.4,Off-white pages.
Colossus Comics,1,Mile High pedigree,Sun Publications,1940,CGC,NM 9.4,White pages.
Comic Cavalcade,16,Mile High pedigree,DC,1946,CGC,VF+ 8.5,White pages.
Cowgirl Romances,1,Mile High pedigree,Fiction House,1950,CGC,NM 9.4,White pages.
Cowgirl Romances,8,Mile High pedigree,Fiction House,1952,CGC,NM 9.4,White pages.
Criminals on the Run V5,2,Mile High pedigree,Curtis,1949,CGC,VF+ 8.5,Off-white pages.
Crown Comics,4,Mile High pedigree,Golfing, Inc.,1945,CGC,NM 9.4,Off-white to white pages.
Crown Comics,6,Mile High pedigree,Golfing, Inc.,1946,CGC,VF+ 8.5,Off-white to white pages.
Cyclone Comics,5,Mile High pedigree,Bilbara,1940,CGC,NM 9.4,Off-white to white pages.
Dale Evans Comics,19,Mile High pedigree,DC,1951,CGC,VF/NM 9.0,White pages.
Daredevil Comics,39,Mile High pedigree,Lev Gleason,1946,CGC,NM 9.4,White pages.
Daredevil Comics,44,Mile High pedigree,Lev Gleason,1947,CGC,NM 9.4,Off-white pages.
Dark Mysteries,4,Mile High pedigree,Master Publications,1952,CGC,VF+ 8.5,White pages.
Dark Mysteries,5,Mile High pedigree,Master Publications,1952,CGC,VF+ 8.5,White pages.
Doc Savage Comics v2,8,Mile High pedigree,Street & Smith,1943,CGC,NM 9.4,Off-white to white pages.
Don Winslow of the Navy,37,Mile High pedigree,Fawcett,1946,CGC,NM/MT 9.8,Off-white to white pages.
Don Winslow of the Navy,51,Mile High pedigree,Fawcett,1947,CGC,NM+ 9.6,Off-white to white pages.
Don Winslow,53,Mile High pedigree,Fawcett,1948,CGC,NM 9.4,Off-white to white pages.
Dutch Boy and the Haunted House,nn,Mile High pedigree,National Lead Co.,no date listed,CGC,NM 9.4,Off-white to white pages.
Fairy Tale Parade,8,Mile High pedigree,Dell,1943,CGC,NM- 9.2,White pages.
Famous Funnies,72,Mile High pedigree,Eastern Color,1940,CGC,NM 9.4,Off-white pages.
Fighting Yank,18,Mile High pedigree,Nedor Publications,1946,CGC,VF/NM 9.0,Off-white pages.
First Love Illustrated,2,Mile High pedigree,Harvey,1949,CGC,NM+ 9.6,White pages.
Flash Comics,24,Mile High pedigree,DC,1941,CGC,NM 9.4,White pages.
Flash Comics,67,Mile High pedigree,DC,1945,CGC,NM 9.4,White pages.
Flash Comics,92,Mile High pedigree,DC,1948,CGC,NM- 9.2,White pages.
Flash Comics,96,Mile High pedigree,DC,1948,CGC,NM 9.4,White pages.
Flash Comics,98,Mile High pedigree,DC,1948,CGC,NM+ 9.6,White pages.
Four Color,88,Bugs Bunny's Great Adventure - Mile High pedigree,Dell,1945,CGC,VF/NM 9.0,Off-white pages.
Four Favorites,27,Mile High pedigree,Ace,1947,CGC,VF/NM 9.0,Off-white to white pages.
Funnies,60,Mile High pedigree,Dell,1941,CGC,NM+ 9.6,Off-white to white pages.
Gang Busters,2,Mile High pedigree,DC,1948,CGC,NM+ 9.6,Off-white to white pages.
Gay Comics,19,Mile High Pedigree,Timely,1944,CGC,NM 9.4,White pages.
Gene Autry Comics,9,Mile High pedigree,Fawcett,1943,CGC,NM+ 9.6,Off-white to white pages.
Ghost Rider,1,Mile High pedigree,Magazine Enterprises,1950,CGC,NM+ 9.6,Off-white to white pages.
Green Lantern,36,Mile High pedigree,DC,1949,CGC,VF/NM 9.0,White pages.
Ibis The Invincible,2,Mile High pedigree,Fawcett,1943,CGC,NM+ 9.6,Off-white to white pages.
Ibis The Invincible,3,Mile High pedigree,Fawcett,1943,CGC,NM+ 9.6,Off-white pages.
Joker Comics,26,Mile High pedigree,Timely,1947,CGC,NM- 9.2,Off-white pages.
Jungle Tales,5,Mile High pedigree,Atlas,1955,CGC,NM 9.4,White pages.
Katy Keene,5,Mile High pedigree,Archie,1952,CGC,NM- 9.2,White pages.
Krazy Komics,13,Mile High pedigree,Timely,1944,CGC,NM- 9.2,Off-white pages.
Lance O'Casey,4,Mile High pedigree,Fawcett,1948,CGC,NM/MT 9.8,Off-white pages.
Latest Comics,2,Mile High pedigree,Spotlight/Palace,1945,CGC,NM/MT 9.8,Off-white pages.
Leading Comics,7,Mile High pedigree,DC,1943,CGC,NM+ 9.6,White pages.
Little Miss Muffet,11,Mile High pedigree,Best Books,1948,CGC,NM 9.4,White pages.
Lone Ranger,3,Mile High pedigree,Dell,1948,CGC,NM 9.4,Off-white to white pages.
Major Hoople Comics,1,Mile High pedigree,Nedor Publications,1943,CGC,NM 9.4,Off-white pages.
Mary Marvel Comics,3,Mile High pedigree,Fawcett Publications,1946,CGC,NM+ 9.6,Off-white pages.
Military Comics,16,Mile High pedigree,Quality,1943,CGC,NM 9.4,White pages.
Miss Beverly Hills of Hollywood,5,Edgar Church (Mile High) pedigree,DC,1949,CGC,VF+ 8.5,"The Great Lover Bob Hope enc..."
More Fun Comics,118,Mile High pedigree,DC,1947,CGC,NM 9.4,Off-white to white pages.
More Fun Comics,59,Mile High pedigree,DC,1940,CGC,NM 9.4,Off-white to white pages.
More Fun Comics,93,Mile High pedigree,DC,1943,CGC,NM+ 9.6,Off-white to white pages.
Movie Comics,4,Mile High pedigree,Fiction House,1947,CGC,NM 9.4,White pages.
OK Comics,2,Mile High pedigree,United Features Syndicate,1940,CGC,NM 9.4,Off-white to white pages.
Oscar Comics,3,Mile High pedigree,Timely,1947,CGC,NM- 9.2,Off-white to white pages.
Patsy Walker,21,Mile High pedigree,Atlas,1949,CGC,VF- 7.5,Off-white to white pages.
Plastic Man,4,Mile High pedigree,Quality,1946,CGC,NM 9.4,Off-white to white pages.
Plastic Man,16,Mile High pedigree,Quality,1949,CGC,NM+ 9.6,Off-white to white pages.
Plastic Man,18,Mile High pedigree,Quality,1949,CGC,NM+ 9.6,Off-white to white pages.
Police Comics,17,Mile High pedigree,Quality,1943,CGC,NM- 9.2,Off-white to white pages.
Police Comics,38,Mile High pedigree,Quality,1944,CGC,VF/NM 9.0,Off-white to white pages.
Popular Comics,79,Mile High pedigree,Dell,1942,CGC,NM 9.4,Off-white to white pages.
Prize Comics,20,Mile High pedigree,Prize,1942,CGC,NM 9.4,Off-white pages.
Rawhide Kid,6,Mile High pedigree,Marvel,1956,CGC,NM 9.4,White pages.
Red Ryder Comics,12,Mile High pedigree,Dell,1943,CGC,NM 9.4,Off-white to white pages.
Science Comics,7,Mile High pedigree,Fox,1940,CGC,NM+ 9.6,White pages.
Secret Hearts,1,Mile High pedigree,DC,1949,CGC,NM- 9.2,White pages.
Sheena, Queen of the Jungle,7,Mile High pedigree,Fiction House,1950,CGC,NM 9.4,White pages.
Slam-Bang Comics,7,Mile High pedigree,Fawcett,1940,CGC,NM 9.4,Off-white to white pages.
Smash Comics,51,Mile High pedigree,Quality,1944,CGC,NM+ 9.6,White pages.
Speed Comics,36,Mile High pedigree,Harvey,1945,CGC,NM+ 9.6,Off-white to white pages.
Star Spangled Comics,27,Mile High pedigree,DC,1943,CGC,NM 9.4,Off-white to white pages.
Star Spangled Comics,33,Mile High pedigree,DC,1944,CGC,NM+ 9.6,Off-white to white pages.
Star Spangled Comics,35,Mile High pedigree,DC,1944,CGC,NM 9.4,Off-white to white pages.
Star Spangled Comics,80,Mile High pedigree,DC,1948,CGC,NM+ 9.6,Off-white to white pages.
Startling Comics,25,Mile High pedigree,Better Publications,1944,CGC,NM+ 9.6,Off-white to white pages.
Startling Comics,47,Mile High pedigree,Better Publications,1947,CGC,NM+ 9.6,Off-white to white pages.
Straight Arrow,1,Mile High pedigree,Magazine Enterprises,1950,CGC,NM- 9.2,White pages.
Super Comics,60,Mile High pedigree,Dell,1941,CGC,NM+ 9.6,Off-white to white pages.
Supersnipe Comics,7,Mile High pedigree,Street & Smith,1943,CGC,NM+ 9.6,Off-white to white pages.
Suspense Comics,9,Mile High pedigree,Continental Magazines,1945,CGC,NM 9.4,Off-white to white pages.
Target Comics,V2#4,Mile High pedigree,Novelty Press,1941,CGC,NM+ 9.6,Off-white to white pages.
Target Comics,V2#6,Mile High pedigree,Novelty Press,1941,CGC,NM- 9.2,Off-white to white pages.
Target Comics,V7#12,Mile High pedigree,Novelty Press,1947,CGC,NM 9.4,Off-white to white pages.
Target Comics,V9#10,Mile High pedigree,Novelty Press,1948,CGC,NM 9.4,Off-white to white pages.
Teen Comics,26,Mile High pedigree,Marvel,1948,CGC,NM- 9.2,Off-white to white pages.
The Funnies,42,Mile High pedigree,Dell,1940,CGC,NM- 9.2,Off-white to white pages.
The Spirit,15,Mile High pedigree,Quality,1949,CGC,NM+ 9.6,Off-white to white pages.
Top-Notch Comics,3,Mile High pedigree,MLJ,1940,CGC,NM+ 9.6,Off-white to white pages.
Top-Notch Comics,37,Mile High pedigree,MLJ,1943,CGC,NM+ 9.6,Off-white to white pages.
Two-Gun Kid,3,Mile High pedigree,Marvel,1948,CGC,NM 9.4,Off-white to white pages.
Weird Comics,6,Mile High pedigree,Fox,1940,CGC,NM- 9.2,Off-white to white pages.
Weird Comics,9,Mile High pedigree,Fox,1940,CGC,NM- 9.2,Off-white to white pages.
Western Comics,24,Mile High pedigree,DC,1951,CGC,NM 9.4,Off-white to white pages.
Whiz Comics,62,Mile High pedigree,Fawcett,1945,CGC,NM+ 9.6,Off-white to white pages.
Wings Comics,69,Mile High pedigree,Fiction House,1946,CGC,NM+ 9.6,Off-white to white pages.
Wonder Woman,17,Mile High pedigree,DC,1946,CGC,NM+ 9.6,Off-white to white pages.
Wow Comics,57,Mile High pedigree,Fawcett,1947,CGC,FN- 5.5,White pages.
Yellowjacket Comics,8,Mile High pedigree,Charlton,1946,CGC,NM+ 9.6,Off-white to white pages.

